Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C5",0805,4,10uF,C315248
C4,0805,1,10pF,C32949
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D3, D4, D5, D6, D7, D8, D9",Diode_SOD-123,21,D,C28646371
F1,1206,1,1.5A,C28326719
J1,USB_C_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C2765186
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED3, LED4, LED5, LED6, LED7, LED8, LED9",MX_SK6812MINI-E_REV,22,SK6803MINI-E-001 LCSC C5242955,C5242955
MX1,Hotswap_MX_Plated_1.00u,1,Macro1,C5156480
MX10,Hotswap_MX_Plated_1.00u,1,8,C5156480
MX11,Hotswap_MX_Plated_1.00u,1,9,C5156480
MX12,Hotswap_MX_Plated_2.00u,1,Plus,C5156480
MX13,Hotswap_MX_Plated_1.00u,1,4,C5156480
MX14,Hotswap_MX_Plated_1.00u,1,5,C5156480
MX15,Hotswap_MX_Plated_1.00u,1,6,C5156480
MX16,Hotswap_MX_Plated_1.00u,1,1,C5156480
MX17,Hotswap_MX_Plated_1.00u,1,2,C5156480
MX18,Hotswap_MX_Plated_1.00u,1,3,C5156480
MX19,Hotswap_MX_Plated_2.00u,1,Enter,C5156480
MX2,Hotswap_MX_Plated_1.00u,1,Macro2,C5156480
MX20,Hotswap_MX_Plated_2.00u,1,Zero,C5156480
MX21,Hotswap_MX_Plated_1.00u,1,Dot,C5156480
MX3,Hotswap_MX_Plated_1.00u,1,Macro3,C5156480
MX4,Hotswap_MX_Plated_1.00u,1,Macro4,C5156480
MX5,Hotswap_MX_Plated_1.00u,1,NumLock,C5156480
MX6,Hotswap_MX_Plated_1.00u,1,Slash,C5156480
MX7,Hotswap_MX_Plated_1.00u,1,Asterisk,C5156480
MX8,Hotswap_MX_Plated_1.00u,1,Minus,C5156480
MX9,Hotswap_MX_Plated_1.00u,1,7,C5156480
"R1, R2",0805,2,5K1,C105872
"R3, R4",0805,2,10K,C60490
SW1,SW_Push_1P1T_NO_CK_KMR2,1,BOOT,C221676
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias,1,STM32F411CEUx,C60420
U2,SOT-23_Handsoldering,1,XC6206PxxxMR-Regulator_Linear,C5446
U3,SOT-23-6_Handsoldering,1,USBLC6-2SC6,C7519
"UNDER1, UNDER10, UNDER11, UNDER12, UNDER2, UNDER3, UNDER4, UNDER5, UNDER6, UNDER7, UNDER8, UNDER9",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,12,SK6812MINI LCSC C7423118,C7423118
